value,loading-time,execution-time,depth,width,file
[{'|000000>': array(1.)}],0.3719158172607422,1.4515280723571777,106,6,mod5adder_127_tof-sparse-cuda.pkl
[{'|00000000000000>': array(1.)}],0.36855363845825195,3.234539270401001,60,14,0410184_169_tof-sparse-cuda.pkl
[{'|0000000000000000000000000>': array(1.)}],0.38396120071411133,105.32636857032776,64,25,add8_172_tof-sparse-cuda.pkl
[{'|000000000>': array(1.)}],0.5119979381561279,9.605316638946533,227,9,con1_216_tof-sparse-cuda.pkl
[{'|0000000>': array(1.)}],0.38164544105529785,1.4172089099884033,73,7,ham7_104_tof-sparse-cuda.pkl
[{'|0000000>': array(1.)}],0.4026448726654053,11.565755128860474,945,7,sym6_145_tof-sparse-cuda.pkl
[{'|000000>': array(1.)}],0.3666834831237793,2.028040885925293,148,6,sf_274_tof-sparse-cuda.pkl
[{'|00000000000>': array(1.)}],0.4684743881225586,209.42964148521423,731,11,z4_268_tof-sparse-cuda.pkl
[{'|000000>': array(1.)}],0.3651571273803711,1.2793116569519043,89,6,mod8-10_177_tof-sparse-cuda.pkl
[{'|00000000000>': array(1.)}],0.46839189529418945,208.82988834381104,731,11,z4ml_269_tof-sparse-cuda.pkl
[{'|00000>': array(1.)}],0.37067532539367676,0.7695307731628418,56,5,one-two-three-v0_97_tof-sparse-cuda.pkl
[{'|0000000000000000>': array(1.)}],0.37926340103149414,2.2123985290527344,45,16,cnt3-5_179_tof-sparse-cuda.pkl
[{'|0000000000>': array(1.)}],0.36937808990478516,1.3803269863128662,46,10,sys6-v0_111_tof-sparse-cuda.pkl
[{'|0000000000>': array(1.)}],0.36458873748779297,4.712056636810303,39,10,mini_alu_305_tof-sparse-cuda.pkl
[{'|00000000000>': array(1.)}],0.3728063106536865,130.97056126594543,219,11,wim_266_tof-sparse-cuda.pkl
[{'|00000000000>': array(1.)}],1.0697543621063232,289.94082713127136,435,11,dc1_220_tof-sparse-cuda.pkl
[{'|00000000>': array(1.)}],0.37131547927856445,5.411023378372192,293,8,f2_232_tof-sparse-cuda.pkl
[{'|0000000>': array(1.)}],0.37323737144470215,2.189786672592163,149,7,majority_239_tof-sparse-cuda.pkl
[{'|00000>': array(1.)}],0.35868096351623535,0.7747924327850342,51,5,hwb4_49_tof-sparse-cuda.pkl
[{'|0000000>': array(1.)}],0.4870326519012451,1.7226393222808838,106,7,C17_204_tof-sparse-cuda.pkl
